;bl;d1;d2;d3;d4;d5;avg5;familiar/unfamiliar
1;54,45;43,9;53,13;47,37;47,22;62,75;50,874;1
2;44,43;26,32;36,11;62,22;65,22;66,67;51,308;1
3;50,37;61,22;76,92;67,5;74;81,16;72,16;1
4;44,47;56,67;44;73,81;68,42;61,11;60,802;1
5;53,64;51,52;40,63;54,17;63,64;72,88;56,568;1
8;35,52;53,33;53,66;60;48,28;54,17;53,888;1
10;47,71;50;80,43;78,57;91,3;78,69;75,798;1
16;56,09;69,81;66,67;60,78;75;70;68,452;1
19;57,65;70,24;85,11;79,75;92,44;91,59;83,826;1
20;52,89;52,5;59,26;76,81;68,06;81,16;67,558;1
21;48,03;27,78;36,36;41,94;54,17;40;40,05;0
22;44,08;42,86;74,55;70,37;80;83,61;70,278;0
23;43,89;58,62;55,56;50;40;58,33;52,502;0
24;47,97;60;48,94;54,55;63,64;53,66;56,158;0
25;52,59;38,71;48,48;55,88;84,62;80;61,538;0
26;51,26;81,08;76,09;63,64;85,11;77,42;76,668;0
27;46,08;54,12;69,44;58,46;58,97;60,5;60,298;0
28;46,46;50;54,39;64,56;70,71;60,75;60,082;0
29;53,89;38,1;47,37;78,05;85,96;86,67;67,23;0
30;41,86;34,62;37,93;50;41,67;56;44,044;0
31;49,12;48,39;46,34;77,08;65,52;56,9;58,846;0
41;52,97;53,85;61,36;67,21;66,67;81,82;66,182;0
42;54,63;54,29;19,35;25;28,95;70,18;39,554;1
43;45,95;39,47;45;58,62;74,58;70,45;57,624;1
44;45,92;35,48;30,3;33,33;35,71;38,89;34,742;0
45;59,42;74,36;82,14;79,66;62,5;83,67;76,466;0
46;52,56;39,39;64,71;67,92;77,27;74,03;64,664;1
