;BL;d1;d2;d3;d4;d5;avg5;males/females
1;54,45;43,9;53,13;47,37;47,22;62,75;50,874;1
2;44,43;26,32;36,11;62,22;65,22;66,67;51,308;1
3;50,37;61,22;76,92;67,5;74;81,16;72,16;1
4;44,47;56,67;44;73,81;68,42;61,11;60,802;1
5;53,64;51,52;40,63;54,17;63,64;72,88;56,568;1
8;35,52;53,33;53,66;60;48,28;54,17;53,888;1
10;47,71;50;80,43;78,57;91,3;78,69;75,798;1
16;56,09;69,81;66,67;60,78;75;70;68,452;1
19;57,65;70,24;85,11;79,75;92,44;91,59;83,826;1
20;52,89;52,5;59,26;76,81;68,06;81,16;67,558;1
42;54,63;54,29;19,35;25;28,95;70,18;39,554;1
43;45,95;39,47;45;58,62;74,58;70,45;57,624;1
46;52,56;39,39;64,71;67,92;77,27;74,03;64,664;1
47;59,9;50;48,78;54;44,44;36,67;46,778;2
48;41,91;34,15;46;67,61;68,89;84,21;60,172;2
49;33,1;44,19;60,66;70,31;83,33;74,32;66,562;2
50;46,45;69,86;73,02;81,97;75,36;87,5;77,542;2
51;50,41;63,29;67,31;62,16;67,09;77,27;67,424;2
52;61,41;55,56;67,53;85,87;78,05;65,98;70,598;2
